Church,Church Name
church_rco1,Lembema - Roman Catholic Church
church_mc1,Lembema - Methodist Church
church_nac1,Lembema - New Apostolic Church
church_nhc,Lembema - New Harvest Church
church_crc1,Barlie - Christian Reformed Church
church_crc2,Youviama - Christian Reformed Church
church_crc3,Potahun - Christian Reformed Church
church_rco2,Niagolehun - Roman Catholic Church
church_rco3,Morjibeh - Roman Catholic Church
church_rco4,Tikonko - Roman Catholic Church
church_mc2,Tikonko - Methodist Church
church_nac2,Tikonko - New Apostolic Church
church_ntc,Tikonko - New Testament Church
church_bwm,Tikonko - Bethel World Ministry
church_none,None
church_other,Other
